YouTube Link,Song,Artist,Album,Year,Duration,Trim Start,Trim End,Era
https://www.youtube.com/watch?v=8vqyghGOI4w,Svētku diena,Olga Rajecka / Turaidas Roze,,1989,180,5,10,vintage
https://www.youtube.com/watch?v=-BEVOQFyTOg,Noktirne (Šaurā bezdibenī),Eolika,,1982,279,5,10,vintage
https://www.youtube.com/watch?v=XTg6nU1OeaQ,Druvas,Ingus Pētersons,,1980,221,5,10,vintage
https://www.youtube.com/watch?v=ZH_6uKp-j-o,Mežrozīte,Čikāgas Piecīši,,1989,212,5,10,vintage
https://www.youtube.com/watch?v=QRA_ioFusT4,Daugaviņa,Mārtiņš Brauns / Sīpoli,,1988,202,5,10,vintage
https://www.youtube.com/watch?v=oEGL1oPWaAw,Uz krustcelēm,Remix,,1987,144,5,10,vintage
https://www.youtube.com/watch?v=7psEVhxjteM,Senā dziesma (Vējš miltus...),Čikāgas Piecīši / Līvi,,1989,290,5,10,vintage
https://www.youtube.com/watch?v=At0ADKo4AYA,Taisnība,Zodiaks,,1989,295,5,10,vintage
https://www.youtube.com/watch?v=jDZTkNkETLs,Atgriešanās (no rokoperas Lāčplēsis),Igo / Mailītis / Z. Liepiņš,,1988,373,5,10,vintage
https://www.youtube.com/watch?v=KnIt45VIVFM,Zīlīte,Līvi,,1982,194,5,10,vintage
https://www.youtube.com/watch?v=Dui9FWlOoLo,Zemeņu lauks,Eolika,,1985,201,5,10,vintage
https://www.youtube.com/watch?v=qe5Zx9HeuZ4,Komunālais blūzs,Remix,,1987,243,5,10,vintage
https://www.youtube.com/watch?v=vRMdYJBi0Ck,Kad man vairs nebūs 16,Olga Rajecka / Bāze 7,,1987,224,5,10,vintage
https://www.youtube.com/watch?v=tWRrampneow,"Tumsša nakte, zaļa zāle",Ieva Akuratere,,1988,189,5,10,vintage
https://www.youtube.com/watch?v=dgxE29yN5eI,Veltījums,Līvi,,1985,774,5,10,vintage
https://www.youtube.com/watch?v=vhiU9J3yeEc,Elektriskā zivs,Līvi,,1984,261,5,10,vintage
https://www.youtube.com/watch?v=k3ltBkxV_GY,Tāls Parīzes radio,Mirdza Zīvere / Opus,,1984,297,5,10,vintage
https://www.youtube.com/watch?v=Zcl8tNkzW2Q,Rīts (Šeit ir Latvija),Odis,,1989,308,5,10,vintage
https://www.youtube.com/watch?v=7RoKZ31GjY0,Dūdieviņš,Aigars Grāvers / Jumprava,,1989,223,5,10,vintage
https://www.youtube.com/watch?v=w_7iixgeNB0,Kā senā dziesmā,Ingus Pētersons,,1983,263,5,10,vintage
https://www.youtube.com/watch?v=86NtYMqtKs4,Vēl,Mirdza Zīvere,,1983,257,5,10,vintage
https://www.youtube.com/watch?v=HHPy9Lso1vI,Es karājos tavā bizē,Gunārs Kalniņš / Sīpoli,,1984,300,5,10,vintage
https://www.youtube.com/watch?v=ltuxjMDi2t8,Zaļā dziesma,Pērkons,,1988,256,5,10,vintage
https://www.youtube.com/watch?v=j5GyTOuAIHE,Pieskāriens,New York (J.Kulakovs),,1989,159,5,10,vintage
https://www.youtube.com/watch?v=9ZSBGrQyEQw,Vējš un liepa,Imants Skrastiņš,,1984,269,5,10,vintage
https://www.youtube.com/watch?v=CCuri9RhVjA,Diskžokejs,Credo,,1982,207,5,10,vintage
