7RoKZ31GjY0	Aigars Grāvers / Jumprava	Dūdieviņš		1989	223	vintage	5	10				X													
w_7iixgeNB0	Ingus Pētersons	Kā senā dziesmā		1983	263	vintage	5	10				X													
86NtYMqtKs4	Mirdza Zīvere	Vēl		1983	257	vintage	5	10				X													
HHPy9Lso1vI	Gunārs Kalniņš / Sīpoli	Es karājos tavā bizē		1984	300	vintage	5	10				X													
ltuxjMDi2t8	Pērkons	Zaļā dziesma		1988	256	vintage	5	10				X													
j5GyTOuAIHE	New York (J.Kulakovs)	Pieskāriens		1989	159	vintage	5	10				X													
9ZSBGrQyEQw	Imants Skrastiņš	Vējš un liepa		1984	269	vintage	5	10				X													
CCuri9RhVjA	Credo	Diskžokejs		1982	207	vintage	5	10				X													
oIm2p_OgiY0	Pērkons	Mana dienišķā dziesma		1987	230	vintage	5	10				X													
T6so1kZ34TI	Jumprava	Prom no pilsētas		1987	231	vintage	5	10				X													
SHoorM9F_Vo	Credo	Smaidiet un dalieties		1980	240	vintage	5	10				X													
fy4nAycqZMw	Opus Pro	Rozā brille		1988	294	vintage	5	10				X													
PBXoYVuIZiA	Līvi	Laika dziesmiņa		1983	228	vintage	5	10				X													
D2b8LG1GSzY	Cikādes	Dziesma par rozīti		1982	166	vintage	5	10				X													
DvbCZWUnSkE	Jumprava	Nakts		1986	218	vintage	5	10				X													
wnQ267kghRc	Eolika	Lielais, mazais		1985	165	vintage	5	10				X													
ONIrBi85uwc	Pērkons	Lapsene		1983	54	vintage	5	10				X													
dWQGz02d6Vk	Remix	Tavs sauciens (Bēdu manu lielu bēdu)		1986	241	vintage	5	10				X													
RFYrZCnX31A	Līvi	Aprīļa pilieni		1984	224	vintage	5	10				X													
k6JbCeX4yek	Jumprava	Mākonis		1986	247	vintage	5	10				X													
6OHd3_K2_l4	Žoržs Siksna	Genoveva		1985	250	vintage	5	10				X													
kYEjCCK3QkE	Žoržs Siksna	Muļķe sirds		1983	235	vintage	5	10				X													
FAI4nL3XnvQ	Līvi	Atkal sāpe		1984	2707	vintage	5	10				X													
Ws0mCyv15kA	Līvi	Ozolam		1989	332	vintage	5	10				X													
GpKZMQBsIyo	Zodiaks	Ceļavējš		1989	264	vintage	5	10				X													
LfVgHi1GzwA	Kopkoris	Fināla dziesma (No Lāčplēša)		1988	290	vintage	5	10				X													
ICR_YJiY4PA	Opus Pro	Šūpuļdziesma (mātei)		1987	208	vintage	5	10				X													
c-3alcyHwG0	Remix	Meitenei kafejnīcā		1986	279	vintage	5	10				X													
I0WULm0ipjM	Mirdza Zīvere	Tava izredzētā		1982	165	vintage	5	10				X													
RiwytLqhDyw	Eolika	Kūko, kūko dzeguzīte		1984	233	vintage	5	10				X													
m-ZG2YzrLUg	Eolika	Ugunskurs		1987	305	vintage	5	10				X													
nNkgL93t0kU	Turaidas Roze	Likteņlīnijas		1987	306	vintage	5	10				X													
D3PV5uJgzaw	Turaidas Roze	Nelaid, māte, bērnus mežā		1986	274	vintage	5	10				X													
nhrryd_yNcQ	Viktors Lapčenoks	Es neesmu neprātīgs		1980	233	vintage	5	10				X													
Tyi-ZHz6hJY	Opus	Mājupceļš		1986	257	vintage	5	10				X													
1s26Cw0G74g	Turaidas Roze	Vēstule (Sēžu pie ratiņa)		1986	284	vintage	5	10				X													
3BTsrLLQtQA	Jumprava	Puiši, puiši		1989	138	vintage	5	10				X													
RjdfG1t6h-w	Dzeltenie Pastnieki	Rīgas modes		1982	234	vintage	5	10				X													
SuLxMDgGS4I	Dzeltenie Pastnieki	Milžu cīņa		1984	302	vintage	5	10				X													
Uu9WPdYu6Mo	Remix	Man vienalga		1988	386	vintage	5	10				X													
ktztsPzrCy8	Zodiaks (Maija Lūsēna)	Piedod man		1989	234	vintage	5	10				X													
RMB5YC2mgVA	Jumprava	Soli pa solim		1988	223	vintage	5	10				X													
PnfwOte1V7s	Igo	Tēvu zeme		1988	242	vintage	5	10				X													
IoZtocq-Wgc	Credo (versija)	Kerijas dziesma		1981	807	vintage	5	10				X													
eZLgGbGByV8	Viktors Lapčenoks	Es mīlu tevi tā...		1981	204	vintage	5	10				X													
WO0ByoDCnxQ	Uldis Stabulnieks	Lidotāja sapnis		1985	141	vintage	5	10				X													
iNjU-yAXi6M	Aija Kukule	Jūras balss		1982	214	vintage	5	10				X													
pcwjK9MMikI	Uldis Marhilevičs / Remix	Viens un tas pats		1987	408	vintage	5	10				X													
S6xJvYJQjMw	Igo	Nevajag mierināt		1984	254	vintage	5	10				X													
rXciI9Fnln8	Eolika (disko versija)	Dziesma par pazaudēto laiku		1982	265	vintage	5	10				X													
5KNGmtkaVDM	Turaidas Roze	Apvij rokas		1985	277	vintage	5	10				X													
